Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.1,1988.0,3.03,4.04,8.08,100,1,1,1,0
2,1.1,2019.0,5.050000000000001,7.07,7.07,100,1,1,1,0
3,1.1,2105.0,1.01,1.01,1.01,1.01,1,1,1,1
4,1.1,1905.0,2.02,100,100,100,1,0,0,0
5,1.1,2101.0,2.02,2.02,2.02,2.02,1,1,1,1
6,1.1,2069.0,1.01,1.01,2.02,2.02,1,1,1,1
7,1.1,2101.0,1.01,1.01,1.01,1.01,1,1,1,1
8,1.1,2083.0,1.01,1.01,1.01,2.02,1,1,1,1
9,1.1,2105.0,1.01,1.01,1.01,4.04,1,1,1,1
10,1.1,2103.0,1.01,4.04,4.04,5.050000000000001,1,1,1,1
11,1.1,2114.0,1.01,2.02,3.03,4.04,1,1,1,1
12,1.1,2104.0,2.02,2.02,2.02,2.02,1,1,1,1
13,1.1,1904.0,1.01,100,100,100,1,0,0,0
14,1.1,1939.0,1.01,2.02,100,100,1,1,0,0
15,1.1,2088.0,1.01,1.01,2.02,2.02,1,1,1,1
16,1.1,2036.0,2.02,2.02,3.03,100,1,1,1,0
17,1.1,2027.0,2.02,3.03,3.03,100,1,1,1,0
18,1.1,1989.0,12.12,12.12,13.13,100,1,1,1,0
19,1.1,2103.0,1.01,1.01,2.02,2.02,1,1,1,1
20,1.1,2003.0,1.01,1.01,1.01,100,1,1,1,0
21,1.1,1974.0,2.02,3.03,5.050000000000001,100,1,1,1,0
22,1.1,2083.0,2.02,2.02,3.03,4.04,1,1,1,1
23,1.1,1891.0,3.03,100,100,100,1,0,0,0
24,1.1,2039.0,1.01,1.01,2.02,3.03,1,1,1,1
25,1.1,1976.0,2.02,3.03,3.03,100,1,1,1,0
26,1.1,1941.0,4.04,6.06,100,100,1,1,0,0
27,1.1,2088.0,2.02,2.02,5.050000000000001,9.09,1,1,1,1
28,1.1,2008.0,2.02,2.02,2.02,100,1,1,1,0
29,1.1,2011.0,1.01,2.02,5.050000000000001,100,1,1,1,0
30,1.1,1929.0,2.02,3.03,100,100,1,1,0,0
31,1.1,2114.0,2.02,2.02,2.02,3.03,1,1,1,1
32,1.1,2027.0,3.03,6.06,24.24,100,1,1,1,0
33,1.1,2088.0,2.02,2.02,2.02,6.06,1,1,1,1
34,1.1,2101.0,2.02,2.02,2.02,3.03,1,1,1,1
35,1.1,2101.0,2.02,2.02,3.03,4.04,1,1,1,1
36,1.1,2114.0,1.01,2.02,2.02,2.02,1,1,1,1
37,1.1,2066.0,2.02,3.03,7.07,10.100000000000001,1,1,1,1
38,1.1,2022.0,1.01,2.02,2.02,100,1,1,1,0
39,1.1,1950.0,2.02,4.04,100,100,1,1,0,0
40,1.1,2068.0,1.01,1.01,1.01,2.02,1,1,1,1
41,1.1,1942.0,2.02,3.03,100,100,1,1,0,0
42,1.1,1954.0,3.03,13.13,16.16,100,1,1,1,0
43,1.1,1963.0,2.02,2.02,7.07,100,1,1,1,0
44,1.1,2118.0,2.02,2.02,2.02,3.03,1,1,1,1
45,1.1,2069.0,1.01,3.03,5.050000000000001,17.17,1,1,1,1
46,1.1,2034.0,2.02,2.02,3.03,100,1,1,1,0
47,1.1,1892.0,6.06,100,100,100,1,0,0,0
48,1.1,2109.0,1.01,1.01,1.01,2.02,1,1,1,1
49,1.1,2101.0,2.02,2.02,3.03,3.03,1,1,1,1
50,1.1,2114.0,1.01,2.02,2.02,2.02,1,1,1,1
51,1.1,1943.0,2.02,2.02,100,100,1,1,0,0
52,1.1,2101.0,1.01,1.01,2.02,3.03,1,1,1,1
53,1.1,2047.0,2.02,2.02,3.03,7.07,1,1,1,1
54,1.1,2114.0,1.01,1.01,2.02,2.02,1,1,1,1
55,1.1,1877.0,3.03,100,100,100,1,0,0,0
56,1.1,1882.0,2.02,100,100,100,1,0,0,0
57,1.1,1973.0,2.02,2.02,3.03,100,1,1,1,0
58,1.1,2114.0,1.01,2.02,2.02,2.02,1,1,1,1
59,1.1,1899.0,2.02,100,100,100,1,0,0,0
60,1.1,1988.0,2.02,3.03,5.050000000000001,100,1,1,1,0
61,1.1,2103.0,2.02,2.02,2.02,3.03,1,1,1,1
62,1.1,2003.0,1.01,1.01,2.02,100,1,1,1,0
63,1.1,1974.0,2.02,2.02,2.02,100,1,1,1,0
