Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0,3276.0,3.03,5.050000000000001,12.12,100,1,1,1,0
2,0.0,3327.0,4.04,7.07,10.100000000000001,20.200000000000003,1,1,1,1
3,0.0,3336.0,3.03,6.06,11.11,42.42,1,1,1,1
4,0.0,3323.0,3.03,5.050000000000001,9.09,26.26,1,1,1,1
5,0.0,3299.0,4.04,8.08,17.17,47.470000000000006,1,1,1,1
6,0.0,3308.0,6.06,10.100000000000001,17.17,49.49,1,1,1,1
7,0.0,3290.0,4.04,5.050000000000001,8.08,45.45,1,1,1,1
8,0.0,3291.0,3.03,5.050000000000001,12.12,77.77,1,1,1,1
9,0.0,3269.0,3.03,7.07,14.14,100,1,1,1,0
10,0.0,3336.0,3.03,5.050000000000001,10.100000000000001,34.34,1,1,1,1
11,0.0,3355.0,4.04,7.07,12.12,32.32,1,1,1,1
12,0.0,3277.0,3.03,5.050000000000001,8.08,48.48,1,1,1,1
13,0.0,3296.0,3.03,6.06,9.09,76.76,1,1,1,1
14,0.0,3300.0,4.04,6.06,9.09,60.599999999999994,1,1,1,1
15,0.0,3289.0,5.050000000000001,10.100000000000001,16.16,73.73,1,1,1,1
16,0.0,3308.0,4.04,10.100000000000001,17.17,28.28,1,1,1,1
17,0.0,3277.0,3.03,7.07,12.12,71.71,1,1,1,1
18,0.0,3319.0,4.04,7.07,10.100000000000001,31.31,1,1,1,1
19,0.0,3298.0,4.04,6.06,9.09,30.299999999999997,1,1,1,1
20,0.0,3290.0,4.04,8.08,15.149999999999999,85.85,1,1,1,1
21,0.0,3333.0,3.03,5.050000000000001,7.07,47.470000000000006,1,1,1,1
22,0.0,3268.0,5.050000000000001,8.08,11.11,100,1,1,1,0
23,0.0,3292.0,4.04,7.07,11.11,25.25,1,1,1,1
24,0.0,3327.0,4.04,7.07,11.11,25.25,1,1,1,1
25,0.0,3306.0,4.04,7.07,10.100000000000001,40.400000000000006,1,1,1,1
26,0.0,3238.0,4.04,9.09,15.149999999999999,100,1,1,1,0
27,0.0,3295.0,4.04,6.06,9.09,82.82000000000001,1,1,1,1
28,0.0,3279.0,4.04,7.07,12.12,100,1,1,1,0
29,0.0,3318.0,5.050000000000001,10.100000000000001,13.13,44.44,1,1,1,1
30,0.0,3317.0,3.03,6.06,11.11,33.33,1,1,1,1
31,0.0,3331.0,5.050000000000001,9.09,15.149999999999999,36.36,1,1,1,1
32,0.0,3277.0,4.04,6.06,9.09,86.86,1,1,1,1
33,0.0,3339.0,3.03,5.050000000000001,8.08,41.410000000000004,1,1,1,1
34,0.0,3299.0,3.03,6.06,11.11,59.589999999999996,1,1,1,1
35,0.0,3273.0,5.050000000000001,8.08,16.16,100,1,1,1,0
36,0.0,3353.0,3.03,4.04,7.07,23.23,1,1,1,1
37,0.0,3289.0,3.03,7.07,12.12,55.550000000000004,1,1,1,1
38,0.0,3337.0,4.04,8.08,13.13,38.38,1,1,1,1
39,0.0,3292.0,3.03,5.050000000000001,13.13,44.44,1,1,1,1
40,0.0,3295.0,3.03,7.07,12.12,49.49,1,1,1,1
41,0.0,3294.0,3.03,6.06,11.11,64.64,1,1,1,1
42,0.0,3360.0,3.03,6.06,9.09,31.31,1,1,1,1
43,0.0,3254.0,3.03,4.04,7.07,100,1,1,1,0
44,0.0,3318.0,4.04,8.08,10.100000000000001,30.299999999999997,1,1,1,1
45,0.0,3277.0,5.050000000000001,9.09,14.14,100,1,1,1,0
46,0.0,3313.0,4.04,9.09,15.149999999999999,58.58,1,1,1,1
47,0.0,3336.0,4.04,7.07,14.14,49.49,1,1,1,1
48,0.0,3315.0,4.04,9.09,16.16,46.46,1,1,1,1
49,0.0,3276.0,3.03,5.050000000000001,9.09,100,1,1,1,0
50,0.0,3289.0,4.04,8.08,14.14,45.45,1,1,1,1
51,0.0,3312.0,3.03,7.07,13.13,43.43,1,1,1,1
52,0.0,3226.0,4.04,10.100000000000001,19.19,100,1,1,1,0
53,0.0,3309.0,3.03,5.050000000000001,9.09,57.57000000000001,1,1,1,1
54,0.0,3255.0,3.03,6.06,10.100000000000001,100,1,1,1,0
55,0.0,3338.0,5.050000000000001,9.09,14.14,33.33,1,1,1,1
56,0.0,3271.0,5.050000000000001,8.08,12.12,100,1,1,1,0
57,0.0,3319.0,5.050000000000001,8.08,12.12,41.410000000000004,1,1,1,1
58,0.0,3307.0,4.04,7.07,11.11,46.46,1,1,1,1
59,0.0,3315.0,3.03,6.06,12.12,40.400000000000006,1,1,1,1
60,0.0,3303.0,5.050000000000001,9.09,15.149999999999999,38.38,1,1,1,1
61,0.0,3294.0,4.04,7.07,13.13,41.410000000000004,1,1,1,1
62,0.0,3247.0,3.03,6.06,9.09,100,1,1,1,0
63,0.0,3252.0,4.04,7.07,12.12,100,1,1,1,0
64,0.0,3288.0,4.04,8.08,15.149999999999999,57.57000000000001,1,1,1,1
