Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0003,1970.0,2.02,3.03,4.04,100,1,1,1,0
2,0.0003,1969.0,2.02,2.02,3.03,100,1,1,1,0
3,0.0003,1982.0,2.02,3.03,6.06,16.16,1,1,1,1
4,0.0003,2000.0,1.01,2.02,3.03,9.09,1,1,1,1
5,0.0003,1986.0,2.02,2.02,3.03,16.16,1,1,1,1
6,0.0003,1983.0,2.02,2.02,2.02,6.06,1,1,1,1
7,0.0003,2002.0,2.02,3.03,7.07,16.16,1,1,1,1
8,0.0003,1964.0,2.02,2.02,5.050000000000001,100,1,1,1,0
9,0.0003,1939.0,2.02,4.04,6.06,100,1,1,1,0
10,0.0003,1957.0,2.02,2.02,3.03,100,1,1,1,0
11,0.0003,1937.0,2.02,4.04,14.14,100,1,1,1,0
12,0.0003,1939.0,2.02,4.04,5.050000000000001,100,1,1,1,0
13,0.0003,1972.0,2.02,2.02,2.02,14.14,1,1,1,1
14,0.0003,1995.0,2.02,3.03,7.07,27.270000000000003,1,1,1,1
15,0.0003,1938.0,2.02,3.03,5.050000000000001,100,1,1,1,0
16,0.0003,1966.0,2.02,2.02,3.03,100,1,1,1,0
17,0.0003,1981.0,2.02,2.02,3.03,13.13,1,1,1,1
18,0.0003,2018.0,2.02,2.02,3.03,8.08,1,1,1,1
19,0.0003,1994.0,2.02,2.02,3.03,13.13,1,1,1,1
20,0.0003,1977.0,2.02,2.02,3.03,19.19,1,1,1,1
21,0.0003,1946.0,2.02,4.04,8.08,100,1,1,1,0
22,0.0003,1982.0,2.02,3.03,5.050000000000001,20.200000000000003,1,1,1,1
23,0.0003,1970.0,2.02,3.03,8.08,100,1,1,1,0
24,0.0003,1982.0,2.02,3.03,4.04,12.12,1,1,1,1
25,0.0003,1970.0,2.02,3.03,5.050000000000001,100,1,1,1,0
26,0.0003,1946.0,2.02,5.050000000000001,7.07,100,1,1,1,0
27,0.0003,1973.0,2.02,2.02,4.04,23.23,1,1,1,1
28,0.0003,1957.0,2.02,2.02,5.050000000000001,100,1,1,1,0
29,0.0003,2014.0,2.02,4.04,6.06,27.270000000000003,1,1,1,1
30,0.0003,1967.0,2.02,2.02,2.02,100,1,1,1,0
31,0.0003,1972.0,1.01,2.02,2.02,13.13,1,1,1,1
32,0.0003,2015.0,2.02,2.02,6.06,22.22,1,1,1,1
33,0.0003,1977.0,2.02,3.03,7.07,14.14,1,1,1,1
34,0.0003,1981.0,2.02,3.03,7.07,39.39,1,1,1,1
35,0.0003,1982.0,1.01,2.02,3.03,21.21,1,1,1,1
36,0.0003,2015.0,2.02,2.02,3.03,10.100000000000001,1,1,1,1
37,0.0003,1938.0,2.02,3.03,4.04,100,1,1,1,0
