Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.005,1868.0,1.01,1.01,21.21,21.21,1,1,1,1
2,1.005,1722.0,1.01,1.01,1.01,1.01,1,1,1,1
3,1.005,1708.0,1.01,1.01,1.01,1.01,1,1,1,1
4,1.005,1855.0,12.12,22.22,23.23,23.23,1,1,1,1
5,1.005,0.0,100,100,100,100,0,0,0,0
6,1.005,1803.0,41.410000000000004,41.410000000000004,41.410000000000004,100,1,1,1,0
7,1.005,1692.0,1.01,1.01,11.11,11.11,1,1,1,1
8,1.005,1806.0,31.31,31.31,31.31,100,1,1,1,0
9,1.005,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
10,1.005,1874.0,1.01,1.01,1.01,1.01,1,1,1,1
11,1.005,1842.0,1.01,1.01,1.01,1.01,1,1,1,1
12,1.005,1736.0,1.01,1.01,100,100,1,1,0,0
13,1.005,1898.0,1.01,1.01,3.03,4.04,1,1,1,1
14,1.005,1743.0,1.01,1.01,100,100,1,1,0,0
15,1.005,1854.0,1.01,1.01,11.11,11.11,1,1,1,1
16,1.005,1867.0,1.01,1.01,1.01,2.02,1,1,1,1
17,1.005,1786.0,1.01,1.01,2.02,100,1,1,1,0
18,1.005,1826.0,2.02,3.03,3.03,3.03,1,1,1,1
19,1.005,1862.0,11.11,11.11,11.11,11.11,1,1,1,1
20,1.005,1723.0,1.01,1.01,1.01,1.01,1,1,1,1
21,1.005,1812.0,1.01,1.01,1.01,100,1,1,1,0
22,1.005,0.0,12.12,31.31,31.31,31.31,1,1,1,1
23,1.005,1783.0,1.01,1.01,1.01,100,1,1,1,0
24,1.005,1827.0,1.01,1.01,1.01,2.02,1,1,1,1
25,1.005,1847.0,1.01,1.01,1.01,1.01,1,1,1,1
26,1.005,1686.0,1.01,1.01,1.01,3.03,1,1,1,1
27,1.005,1722.0,2.02,2.02,11.11,11.11,1,1,1,1
28,1.005,1662.0,1.01,1.01,1.01,100,1,1,1,0
29,1.005,1837.0,11.11,11.11,11.11,11.11,1,1,1,1
30,1.005,1807.0,1.01,1.01,1.01,100,1,1,1,0
31,1.005,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
32,1.005,1862.0,1.01,1.01,11.11,11.11,1,1,1,1
33,1.005,1874.0,1.01,1.01,1.01,1.01,1,1,1,1
34,1.005,1772.0,1.01,1.01,1.01,100,1,1,1,0
35,1.005,1781.0,1.01,1.01,2.02,100,1,1,1,0
36,1.005,1615.0,11.11,11.11,11.11,100,1,1,1,0
37,1.005,1814.0,1.01,1.01,1.01,100,1,1,1,0
38,1.005,1845.0,1.01,2.02,2.02,2.02,1,1,1,1
39,1.005,1767.0,1.01,1.01,1.01,2.02,1,1,1,1
40,1.005,1845.0,1.01,1.01,1.01,1.01,1,1,1,1
41,1.005,1862.0,1.01,1.01,1.01,1.01,1,1,1,1
42,1.005,1688.0,1.01,1.01,1.01,1.01,1,1,1,1
43,1.005,1847.0,1.01,1.01,2.02,2.02,1,1,1,1
44,1.005,1769.0,1.01,1.01,1.01,100,1,1,1,0
45,1.005,1828.0,1.01,11.11,11.11,11.11,1,1,1,1
46,1.005,1844.0,1.01,1.01,1.01,2.02,1,1,1,1
47,1.005,0.0,100,100,100,100,0,0,0,0
48,1.005,1676.0,1.01,100,100,100,1,0,0,0
49,1.005,1760.0,2.02,2.02,2.02,100,1,1,1,0
50,1.005,1684.0,1.01,1.01,1.01,1.01,1,1,1,1
51,1.005,1847.0,1.01,2.02,2.02,2.02,1,1,1,1
52,1.005,1778.0,1.01,1.01,1.01,100,1,1,1,0
53,1.005,1852.0,1.01,11.11,11.11,11.11,1,1,1,1
54,1.005,1840.0,1.01,1.01,1.01,1.01,1,1,1,1
55,1.005,1742.0,11.11,11.11,100,100,1,1,0,0
56,1.005,1754.0,1.01,1.01,2.02,100,1,1,1,0
57,1.005,1799.0,1.01,1.01,1.01,100,1,1,1,0
58,1.005,1696.0,1.01,1.01,4.04,5.050000000000001,1,1,1,1
59,1.005,1837.0,1.01,2.02,2.02,2.02,1,1,1,1
60,1.005,1789.0,1.01,1.01,1.01,100,1,1,1,0
61,1.005,1824.0,1.01,1.01,1.01,100,1,1,1,0
62,1.005,1752.0,1.01,1.01,1.01,100,1,1,1,0
63,1.005,1849.0,1.01,1.01,1.01,1.01,1,1,1,1
64,1.005,1830.0,1.01,1.01,1.01,1.01,1,1,1,1
65,1.005,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
66,1.005,1833.0,1.01,2.02,2.02,2.02,1,1,1,1
67,1.005,1851.0,1.01,1.01,1.01,1.01,1,1,1,1
68,1.005,1806.0,12.12,14.14,14.14,100,1,1,1,0
69,1.005,1902.0,1.01,1.01,2.02,2.02,1,1,1,1
70,1.005,1830.0,1.01,1.01,1.01,3.03,1,1,1,1
71,1.005,1715.0,1.01,1.01,1.01,1.01,1,1,1,1
72,1.005,1666.0,1.01,1.01,1.01,100,1,1,1,0
73,1.005,1814.0,1.01,1.01,1.01,100,1,1,1,0
74,1.005,1851.0,3.03,3.03,11.11,11.11,1,1,1,1
75,1.005,1847.0,1.01,1.01,1.01,2.02,1,1,1,1
76,1.005,1734.0,1.01,1.01,1.01,1.01,1,1,1,1
77,1.005,1830.0,1.01,1.01,1.01,100,1,1,1,0
78,1.005,1712.0,1.01,1.01,1.01,1.01,1,1,1,1
79,1.005,1847.0,1.01,1.01,1.01,1.01,1,1,1,1
80,1.005,1736.0,2.02,2.02,100,100,1,1,0,0
81,1.005,1652.0,1.01,2.02,2.02,2.02,1,1,1,1
82,1.005,1785.0,1.01,24.24,24.24,100,1,1,1,0
83,1.005,1866.0,1.01,1.01,1.01,2.02,1,1,1,1
84,1.005,1713.0,11.11,11.11,11.11,11.11,1,1,1,1
85,1.005,1769.0,1.01,1.01,1.01,100,1,1,1,0
86,1.005,1837.0,1.01,1.01,2.02,2.02,1,1,1,1
87,1.005,1760.0,1.01,1.01,25.25,100,1,1,1,0
88,1.005,1778.0,1.01,1.01,1.01,100,1,1,1,0
89,1.005,1893.0,1.01,1.01,1.01,1.01,1,1,1,1
90,1.005,0.0,100,100,100,100,0,0,0,0
91,1.005,1837.0,2.02,3.03,3.03,3.03,1,1,1,1
92,1.005,1847.0,1.01,100,100,100,1,0,0,0
93,1.005,1855.0,1.01,2.02,2.02,2.02,1,1,1,1
94,1.005,1859.0,1.01,1.01,1.01,1.01,1,1,1,1
95,1.005,0.0,100,100,100,100,0,0,0,0
96,1.005,1838.0,1.01,1.01,1.01,1.01,1,1,1,1
97,1.005,1837.0,1.01,11.11,11.11,11.11,1,1,1,1
98,1.005,1673.0,21.21,41.410000000000004,41.410000000000004,100,1,1,1,0
99,1.005,1668.0,1.01,3.03,3.03,3.03,1,1,1,1
100,1.005,1785.0,1.01,1.01,3.03,100,1,1,1,0
