Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.001,1968.0,1.01,1.01,1.01,1.01,1,1,1,1
2,1.001,1958.0,1.01,1.01,1.01,2.02,1,1,1,1
3,1.001,1932.0,1.01,1.01,1.01,2.02,1,1,1,1
4,1.001,1818.0,1.01,1.01,100,100,1,1,0,0
5,1.001,1931.0,1.01,1.01,1.01,2.02,1,1,1,1
6,1.001,1938.0,1.01,1.01,1.01,1.01,1,1,1,1
7,1.001,1874.0,1.01,1.01,1.01,100,1,1,1,0
8,1.001,1931.0,1.01,1.01,1.01,3.03,1,1,1,1
9,1.001,1859.0,1.01,2.02,2.02,100,1,1,1,0
10,1.001,1941.0,1.01,1.01,1.01,4.04,1,1,1,1
11,1.001,1885.0,1.01,1.01,2.02,100,1,1,1,0
12,1.001,1751.0,1.01,100,100,100,1,0,0,0
13,1.001,1862.0,1.01,2.02,4.04,100,1,1,1,0
14,1.001,1890.0,1.01,1.01,1.01,100,1,1,1,0
15,1.001,1923.0,1.01,1.01,1.01,2.02,1,1,1,1
16,1.001,1903.0,1.01,1.01,1.01,100,1,1,1,0
17,1.001,1904.0,1.01,1.01,1.01,100,1,1,1,0
18,1.001,1826.0,1.01,1.01,100,100,1,1,0,0
19,1.001,1941.0,1.01,1.01,1.01,1.01,1,1,1,1
20,1.001,1889.0,1.01,1.01,1.01,100,1,1,1,0
21,1.001,1805.0,1.01,2.02,100,100,1,1,0,0
22,1.001,1922.0,1.01,1.01,1.01,1.01,1,1,1,1
23,1.001,1867.0,1.01,1.01,1.01,100,1,1,1,0
24,1.001,1789.0,1.01,100,100,100,1,0,0,0
25,1.001,1926.0,1.01,1.01,2.02,2.02,1,1,1,1
26,1.001,1958.0,1.01,1.01,1.01,2.02,1,1,1,1
27,1.001,1975.0,1.01,1.01,2.02,3.03,1,1,1,1
28,1.001,1914.0,1.01,1.01,1.01,2.02,1,1,1,1
29,1.001,1872.0,1.01,1.01,1.01,100,1,1,1,0
30,1.001,1941.0,1.01,1.01,1.01,4.04,1,1,1,1
31,1.001,1912.0,1.01,1.01,2.02,2.02,1,1,1,1
32,1.001,1948.0,6.06,7.07,7.07,8.08,1,1,1,1
33,1.001,1944.0,1.01,1.01,1.01,3.03,1,1,1,1
34,1.001,1945.0,1.01,1.01,1.01,1.01,1,1,1,1
35,1.001,1837.0,1.01,1.01,1.01,100,1,1,1,0
36,1.001,1958.0,1.01,1.01,1.01,1.01,1,1,1,1
37,1.001,1789.0,1.01,100,100,100,1,0,0,0
38,1.001,1930.0,1.01,1.01,1.01,3.03,1,1,1,1
39,1.001,1886.0,1.01,1.01,1.01,100,1,1,1,0
40,1.001,1895.0,1.01,1.01,2.02,100,1,1,1,0
41,1.001,1865.0,1.01,1.01,1.01,100,1,1,1,0
42,1.001,1926.0,1.01,1.01,1.01,1.01,1,1,1,1
43,1.001,1813.0,1.01,1.01,100,100,1,1,0,0
44,1.001,1812.0,1.01,1.01,100,100,1,1,0,0
45,1.001,1832.0,1.01,1.01,1.01,100,1,1,1,0
46,1.001,1941.0,1.01,1.01,1.01,2.02,1,1,1,1
47,1.001,1846.0,1.01,1.01,1.01,100,1,1,1,0
48,1.001,1807.0,1.01,3.03,100,100,1,1,0,0
49,1.001,1948.0,1.01,1.01,1.01,2.02,1,1,1,1
50,1.001,1888.0,2.02,2.02,3.03,100,1,1,1,0
51,1.001,1864.0,1.01,2.02,2.02,100,1,1,1,0
52,1.001,1936.0,1.01,1.01,1.01,1.01,1,1,1,1
53,1.001,1948.0,1.01,1.01,1.01,1.01,1,1,1,1
54,1.001,1929.0,1.01,1.01,1.01,2.02,1,1,1,1
55,1.001,1926.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
56,1.001,1948.0,1.01,1.01,1.01,1.01,1,1,1,1
57,1.001,1704.0,100,100,100,100,0,0,0,0
58,1.001,1923.0,1.01,1.01,1.01,2.02,1,1,1,1
59,1.001,1941.0,1.01,1.01,1.01,5.050000000000001,1,1,1,1
60,1.001,1823.0,1.01,1.01,100,100,1,1,0,0
61,1.001,1808.0,1.01,1.01,100,100,1,1,0,0
62,1.001,1932.0,1.01,1.01,1.01,2.02,1,1,1,1
63,1.001,1948.0,1.01,2.02,2.02,3.03,1,1,1,1
64,1.001,1810.0,1.01,1.01,100,100,1,1,0,0
65,1.001,1930.0,1.01,1.01,2.02,5.050000000000001,1,1,1,1
66,1.001,1854.0,1.01,2.02,2.02,100,1,1,1,0
67,1.001,1926.0,1.01,1.01,1.01,2.02,1,1,1,1
68,1.001,1772.0,1.01,100,100,100,1,0,0,0
69,1.001,1920.0,1.01,1.01,1.01,2.02,1,1,1,1
70,1.001,1771.0,2.02,100,100,100,1,0,0,0
71,1.001,1932.0,1.01,1.01,1.01,1.01,1,1,1,1
72,1.001,1948.0,1.01,1.01,1.01,1.01,1,1,1,1
73,1.001,1936.0,1.01,1.01,1.01,1.01,1,1,1,1
74,1.001,1931.0,1.01,1.01,1.01,3.03,1,1,1,1
75,1.001,1852.0,1.01,1.01,1.01,100,1,1,1,0
76,1.001,1797.0,1.01,1.01,100,100,1,1,0,0
77,1.001,1876.0,1.01,1.01,2.02,100,1,1,1,0
78,1.001,1913.0,1.01,1.01,1.01,3.03,1,1,1,1
79,1.001,1885.0,1.01,1.01,1.01,100,1,1,1,0
80,1.001,1859.0,1.01,1.01,3.03,100,1,1,1,0
81,1.001,1849.0,1.01,2.02,4.04,100,1,1,1,0
82,1.001,1870.0,1.01,1.01,1.01,100,1,1,1,0
83,1.001,1849.0,1.01,3.03,3.03,100,1,1,1,0
84,1.001,1813.0,1.01,1.01,100,100,1,1,0,0
85,1.001,1895.0,1.01,1.01,1.01,100,1,1,1,0
86,1.001,1740.0,2.02,100,100,100,1,0,0,0
87,1.001,1809.0,2.02,3.03,100,100,1,1,0,0
88,1.001,1925.0,1.01,1.01,1.01,1.01,1,1,1,1
89,1.001,1826.0,1.01,1.01,100,100,1,1,0,0
90,1.001,1897.0,1.01,1.01,1.01,100,1,1,1,0
91,1.001,1829.0,1.01,2.02,100,100,1,1,0,0
92,1.001,1860.0,1.01,1.01,1.01,100,1,1,1,0
93,1.001,1936.0,1.01,1.01,1.01,4.04,1,1,1,1
94,1.001,1874.0,1.01,1.01,2.02,100,1,1,1,0
95,1.001,1890.0,1.01,1.01,2.02,100,1,1,1,0
96,1.001,1837.0,1.01,1.01,1.01,100,1,1,1,0
97,1.001,1836.0,1.01,2.02,3.03,100,1,1,1,0
98,1.001,1866.0,1.01,2.02,3.03,100,1,1,1,0
99,1.001,1887.0,1.01,1.01,2.02,100,1,1,1,0
100,1.001,1752.0,1.01,100,100,100,1,0,0,0
