Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
2,0.003,2088.0,1.01,1.01,2.02,2.02,1,1,1,1
3,0.003,2007.0,1.01,1.01,1.01,100,1,1,1,0
4,0.003,2028.0,1.01,1.01,1.01,100,1,1,1,0
5,0.003,2095.0,1.01,1.01,1.01,1.01,1,1,1,1
6,0.003,2088.0,1.01,1.01,1.01,4.04,1,1,1,1
7,0.003,1996.0,1.01,1.01,1.01,100,1,1,1,0
8,0.003,2060.0,1.01,1.01,1.01,1.01,1,1,1,1
9,0.003,2004.0,1.01,1.01,9.09,100,1,1,1,0
10,0.003,1920.0,1.01,5.050000000000001,100,100,1,1,0,0
11,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
12,0.003,2001.0,1.01,1.01,1.01,100,1,1,1,0
13,0.003,2041.0,1.01,1.01,1.01,3.03,1,1,1,1
14,0.003,2101.0,1.01,1.01,1.01,3.03,1,1,1,1
15,0.003,1957.0,1.01,1.01,30.299999999999997,100,1,1,1,0
16,0.003,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
17,0.003,1955.0,1.01,1.01,1.01,100,1,1,1,0
18,0.003,2028.0,1.01,1.01,1.01,100,1,1,1,0
19,0.003,2002.0,1.01,1.01,1.01,100,1,1,1,0
20,0.003,2055.0,1.01,1.01,1.01,2.02,1,1,1,1
21,0.003,1915.0,1.01,3.03,100,100,1,1,0,0
22,0.003,2086.0,1.01,1.01,1.01,1.01,1,1,1,1
23,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
24,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
25,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
26,0.003,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
27,0.003,1924.0,1.01,1.01,100,100,1,1,0,0
28,0.003,2027.0,1.01,1.01,1.01,100,1,1,1,0
29,0.003,1999.0,1.01,1.01,1.01,100,1,1,1,0
30,0.003,1954.0,1.01,1.01,12.12,100,1,1,1,0
31,0.003,2055.0,1.01,4.04,5.050000000000001,15.149999999999999,1,1,1,1
32,0.003,2061.0,1.01,1.01,2.02,4.04,1,1,1,1
33,0.003,2049.0,1.01,1.01,1.01,6.06,1,1,1,1
34,0.003,2121.0,1.01,47.470000000000006,53.53,58.58,1,1,1,1
35,0.003,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
36,0.003,2001.0,1.01,1.01,1.01,100,1,1,1,0
37,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
38,0.003,1997.0,1.01,1.01,2.02,100,1,1,1,0
39,0.003,2040.0,1.01,1.01,1.01,10.100000000000001,1,1,1,1
40,0.003,2104.0,1.01,1.01,1.01,2.02,1,1,1,1
41,0.003,2086.0,1.01,1.01,1.01,1.01,1,1,1,1
42,0.003,2061.0,1.01,1.01,1.01,3.03,1,1,1,1
43,0.003,1886.0,1.01,100,100,100,1,0,0,0
44,0.003,2049.0,1.01,1.01,1.01,2.02,1,1,1,1
45,0.003,1982.0,1.01,1.01,1.01,100,1,1,1,0
46,0.003,2004.0,1.01,3.03,3.03,100,1,1,1,0
47,0.003,2049.0,1.01,1.01,1.01,1.01,1,1,1,1
48,0.003,2061.0,1.01,1.01,1.01,2.02,1,1,1,1
49,0.003,2022.0,3.03,4.04,4.04,100,1,1,1,0
50,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
51,0.003,2001.0,1.01,1.01,1.01,100,1,1,1,0
52,0.003,1916.0,1.01,3.03,100,100,1,1,0,0
53,0.003,1989.0,1.01,1.01,6.06,100,1,1,1,0
54,0.003,2095.0,1.01,1.01,1.01,1.01,1,1,1,1
55,0.003,1973.0,1.01,1.01,1.01,100,1,1,1,0
56,0.003,1952.0,1.01,1.01,5.050000000000001,100,1,1,1,0
57,0.003,2013.0,1.01,2.02,2.02,100,1,1,1,0
58,0.003,1959.0,1.01,1.01,5.050000000000001,100,1,1,1,0
59,0.003,2094.0,1.01,1.01,1.01,1.01,1,1,1,1
60,0.003,2003.0,1.01,1.01,1.01,100,1,1,1,0
61,0.003,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
62,0.003,2121.0,1.01,1.01,1.01,3.03,1,1,1,1
63,0.003,1917.0,1.01,7.07,100,100,1,1,0,0
64,0.003,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
65,0.003,2112.0,1.01,1.01,1.01,1.01,1,1,1,1
66,0.003,2055.0,1.01,1.01,1.01,2.02,1,1,1,1
67,0.003,2024.0,1.01,1.01,1.01,100,1,1,1,0
68,0.003,2121.0,1.01,1.01,1.01,4.04,1,1,1,1
69,0.003,1966.0,1.01,1.01,1.01,100,1,1,1,0
70,0.003,1987.0,1.01,1.01,1.01,100,1,1,1,0
71,0.003,2088.0,1.01,1.01,1.01,1.01,1,1,1,1
72,0.003,1968.0,1.01,1.01,2.02,100,1,1,1,0
73,0.003,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
74,0.003,2042.0,1.01,1.01,1.01,2.02,1,1,1,1
75,0.003,2049.0,1.01,1.01,1.01,1.01,1,1,1,1
76,0.003,1980.0,1.01,1.01,55.550000000000004,100,1,1,1,0
