Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0001,1878.0,1.01,100,100,100,1,0,0,0
2,0.0001,1984.0,1.01,1.01,1.01,100,1,1,1,0
3,0.0001,1979.0,1.01,5.050000000000001,5.050000000000001,100,1,1,1,0
4,0.0001,1988.0,1.01,1.01,1.01,100,1,1,1,0
5,0.0001,2016.0,1.01,1.01,1.01,100,1,1,1,0
6,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
7,0.0001,2088.0,1.01,1.01,1.01,1.01,1,1,1,1
8,0.0001,2121.0,1.01,1.01,1.01,2.02,1,1,1,1
9,0.0001,2069.0,1.01,1.01,1.01,78.78,1,1,1,1
10,0.0001,1937.0,1.01,2.02,100,100,1,1,0,0
11,0.0001,2037.0,1.01,1.01,1.01,22.22,1,1,1,1
12,0.0001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
13,0.0001,2014.0,1.01,1.01,1.01,100,1,1,1,0
14,0.0001,2043.0,1.01,1.01,1.01,21.21,1,1,1,1
15,0.0001,2094.0,1.01,2.02,2.02,2.02,1,1,1,1
16,0.0001,2112.0,1.01,1.01,1.01,1.01,1,1,1,1
17,0.0001,1882.0,1.01,100,100,100,1,0,0,0
18,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
19,0.0001,2007.0,1.01,1.01,1.01,100,1,1,1,0
20,0.0001,2035.0,1.01,1.01,1.01,100,1,1,1,0
21,0.0001,2042.0,1.01,1.01,2.02,12.12,1,1,1,1
22,0.0001,2112.0,1.01,1.01,1.01,1.01,1,1,1,1
23,0.0001,1833.0,100,100,100,100,0,0,0,0
24,0.0001,1911.0,1.01,1.01,100,100,1,1,0,0
25,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
26,0.0001,1989.0,1.01,1.01,1.01,100,1,1,1,0
27,0.0001,2095.0,1.01,1.01,1.01,1.01,1,1,1,1
28,0.0001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
29,0.0001,2038.0,1.01,1.01,1.01,7.07,1,1,1,1
30,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
31,0.0001,2077.0,1.01,1.01,1.01,6.06,1,1,1,1
32,0.0001,2095.0,1.01,1.01,1.01,2.02,1,1,1,1
33,0.0001,2112.0,1.01,1.01,1.01,2.02,1,1,1,1
34,0.0001,2035.0,1.01,1.01,1.01,100,1,1,1,0
35,0.0001,2112.0,1.01,1.01,1.01,1.01,1,1,1,1
36,0.0001,2022.0,1.01,1.01,1.01,100,1,1,1,0
37,0.0001,2027.0,1.01,1.01,1.01,100,1,1,1,0
38,0.0001,1881.0,1.01,100,100,100,1,0,0,0
39,0.0001,2086.0,1.01,1.01,1.01,1.01,1,1,1,1
40,0.0001,2028.0,1.01,1.01,1.01,100,1,1,1,0
41,0.0001,2104.0,1.01,1.01,1.01,1.01,1,1,1,1
42,0.0001,2082.0,1.01,1.01,1.01,12.12,1,1,1,1
43,0.0001,2101.0,1.01,1.01,2.02,4.04,1,1,1,1
44,0.0001,2028.0,1.01,1.01,1.01,100,1,1,1,0
45,0.0001,2088.0,1.01,1.01,1.01,2.02,1,1,1,1
46,0.0001,2094.0,1.01,1.01,1.01,1.01,1,1,1,1
47,0.0001,2048.0,1.01,1.01,3.03,15.149999999999999,1,1,1,1
48,0.0001,2088.0,1.01,1.01,2.02,3.03,1,1,1,1
49,0.0001,2048.0,1.01,1.01,1.01,1.01,1,1,1,1
50,0.0001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
51,0.0001,2004.0,1.01,1.01,1.01,100,1,1,1,0
52,0.0001,2060.0,1.01,1.01,1.01,3.03,1,1,1,1
53,0.0001,2088.0,1.01,1.01,1.01,3.03,1,1,1,1
54,0.0001,2028.0,1.01,1.01,1.01,100,1,1,1,0
55,0.0001,2022.0,1.01,1.01,2.02,100,1,1,1,0
56,0.0001,2086.0,1.01,1.01,1.01,2.02,1,1,1,1
57,0.0001,2094.0,1.01,1.01,1.01,1.01,1,1,1,1
58,0.0001,1970.0,1.01,2.02,4.04,100,1,1,1,0
59,0.0001,2036.0,1.01,1.01,1.01,100,1,1,1,0
60,0.0001,2071.0,1.01,1.01,1.01,1.01,1,1,1,1
61,0.0001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
62,0.0001,2088.0,1.01,1.01,1.01,2.02,1,1,1,1
63,0.0001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
64,0.0001,1963.0,1.01,1.01,4.04,100,1,1,1,0
65,0.0001,1993.0,1.01,1.01,1.01,100,1,1,1,0
66,0.0001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
67,0.0001,1934.0,1.01,2.02,100,100,1,1,0,0
68,0.0001,2060.0,1.01,1.01,2.02,2.02,1,1,1,1
69,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
70,0.0001,2115.0,2.02,4.04,6.06,11.11,1,1,1,1
71,0.0001,2001.0,1.01,1.01,1.01,100,1,1,1,0
72,0.0001,2088.0,1.01,1.01,1.01,1.01,1,1,1,1
73,0.0001,2016.0,1.01,1.01,1.01,100,1,1,1,0
74,0.0001,2009.0,1.01,1.01,1.01,100,1,1,1,0
75,0.0001,1974.0,1.01,1.01,3.03,100,1,1,1,0
76,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
77,0.0001,1983.0,1.01,1.01,1.01,100,1,1,1,0
78,0.0001,2020.0,1.01,1.01,1.01,100,1,1,1,0
79,0.0001,2018.0,1.01,1.01,3.03,100,1,1,1,0
80,0.0001,1988.0,1.01,1.01,1.01,100,1,1,1,0
81,0.0001,2115.0,1.01,1.01,1.01,1.01,1,1,1,1
82,0.0001,2121.0,1.01,1.01,1.01,1.01,1,1,1,1
83,0.0001,2049.0,1.01,1.01,1.01,4.04,1,1,1,1
84,0.0001,2034.0,1.01,1.01,1.01,100,1,1,1,0
85,0.0001,2055.0,1.01,1.01,1.01,1.01,1,1,1,1
86,0.0001,1926.0,1.01,1.01,100,100,1,1,0,0
87,0.0001,1943.0,1.01,2.02,100,100,1,1,0,0
88,0.0001,2060.0,1.01,1.01,1.01,3.03,1,1,1,1
89,0.0001,1954.0,1.01,1.01,8.08,100,1,1,1,0
90,0.0001,1980.0,1.01,2.02,55.550000000000004,100,1,1,1,0
91,0.0001,2044.0,1.01,1.01,1.01,3.03,1,1,1,1
92,0.0001,2020.0,1.01,1.01,1.01,100,1,1,1,0
93,0.0001,2011.0,1.01,1.01,1.01,100,1,1,1,0
94,0.0001,1996.0,1.01,1.01,1.01,100,1,1,1,0
95,0.0001,2010.0,1.01,1.01,1.01,100,1,1,1,0
